,,,0
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.er')",61.0
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.es')",45.0
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.short-i')",52.0
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.u')",43.0
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.yu')",57.0
cyrillic,arial,"('cyrl.ef', 'cyrl.em', 'cyrl.zhe')",55.0
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.es')",48.0
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.short-i')",62.0
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.u')",56.0
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.yu')",45.0
cyrillic,arial,"('cyrl.ef', 'cyrl.er', 'cyrl.zhe')",58.0
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.short-i')",49.0
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.u')",35.0
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.yu')",37.0
cyrillic,arial,"('cyrl.ef', 'cyrl.es', 'cyrl.zhe')",43.0
cyrillic,arial,"('cyrl.ef', 'cyrl.short-i', 'cyrl.u')",45.0
cyrillic,arial,"('cyrl.ef', 'cyrl.short-i', 'cyrl.yu')",56.0
cyrillic,arial,"('cyrl.ef', 'cyrl.short-i', 'cyrl.zhe')",35.0
cyrillic,arial,"('cyrl.ef', 'cyrl.u', 'cyrl.yu')",54.0
cyrillic,arial,"('cyrl.ef', 'cyrl.u', 'cyrl.zhe')",31.0
cyrillic,arial,"('cyrl.ef', 'cyrl.yu', 'cyrl.zhe')",54.0
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.es')",53.0
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.short-i')",49.0
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.u')",35.0
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.yu')",49.0
cyrillic,arial,"('cyrl.em', 'cyrl.er', 'cyrl.zhe')",53.0
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.short-i')",46.0
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.u')",41.0
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.yu')",52.0
cyrillic,arial,"('cyrl.em', 'cyrl.es', 'cyrl.zhe')",51.0
cyrillic,arial,"('cyrl.em', 'cyrl.short-i', 'cyrl.u')",44.0
cyrillic,arial,"('cyrl.em', 'cyrl.short-i', 'cyrl.yu')",46.0
cyrillic,arial,"('cyrl.em', 'cyrl.short-i', 'cyrl.zhe')",35.0
cyrillic,arial,"('cyrl.em', 'cyrl.u', 'cyrl.yu')",34.0
cyrillic,arial,"('cyrl.em', 'cyrl.u', 'cyrl.zhe')",45.0
cyrillic,arial,"('cyrl.em', 'cyrl.yu', 'cyrl.zhe')",52.0
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.short-i')",59.0
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.u')",43.0
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.yu')",37.0
cyrillic,arial,"('cyrl.er', 'cyrl.es', 'cyrl.zhe')",58.0
cyrillic,arial,"('cyrl.er', 'cyrl.short-i', 'cyrl.u')",39.0
cyrillic,arial,"('cyrl.er', 'cyrl.short-i', 'cyrl.yu')",57.0
cyrillic,arial,"('cyrl.er', 'cyrl.short-i', 'cyrl.zhe')",34.0
cyrillic,arial,"('cyrl.er', 'cyrl.u', 'cyrl.yu')",48.0
cyrillic,arial,"('cyrl.er', 'cyrl.u', 'cyrl.zhe')",42.0
cyrillic,arial,"('cyrl.er', 'cyrl.yu', 'cyrl.zhe')",57.0
cyrillic,arial,"('cyrl.es', 'cyrl.short-i', 'cyrl.u')",32.0
cyrillic,arial,"('cyrl.es', 'cyrl.short-i', 'cyrl.yu')",59.0
cyrillic,arial,"('cyrl.es', 'cyrl.short-i', 'cyrl.zhe')",33.0
cyrillic,arial,"('cyrl.es', 'cyrl.u', 'cyrl.yu')",57.0
cyrillic,arial,"('cyrl.es', 'cyrl.u', 'cyrl.zhe')",32.0
cyrillic,arial,"('cyrl.es', 'cyrl.yu', 'cyrl.zhe')",58.0
cyrillic,arial,"('cyrl.short-i', 'cyrl.u', 'cyrl.yu')",35.0
cyrillic,arial,"('cyrl.short-i', 'cyrl.u', 'cyrl.zhe')",39.0
cyrillic,arial,"('cyrl.short-i', 'cyrl.yu', 'cyrl.zhe')",28.0
cyrillic,arial,"('cyrl.u', 'cyrl.yu', 'cyrl.zhe')",28.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.de', 'cyrl.ghe')",48.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.de', 'cyrl.io')",38.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.de', 'cyrl.ka')",27.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.de', 'cyrl.pe')",55.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.de', 'cyrl.ya')",47.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.de', 'cyrl.zhe')",22.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ghe', 'cyrl.io')",45.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ghe', 'cyrl.ka')",35.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ghe', 'cyrl.pe')",54.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ghe', 'cyrl.ya')",43.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ghe', 'cyrl.zhe')",23.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.io', 'cyrl.ka')",33.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.io', 'cyrl.pe')",43.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.io', 'cyrl.ya')",44.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.io', 'cyrl.zhe')",33.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ka', 'cyrl.pe')",35.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ka', 'cyrl.ya')",31.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ka', 'cyrl.zhe')",56.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.pe', 'cyrl.ya')",43.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.pe', 'cyrl.zhe')",25.0
cyrillic,century-schoolbook,"('cyrl.a', 'cyrl.ya', 'cyrl.zhe')",37.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.io')",53.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.ka')",45.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.pe')",33.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.ya')",42.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ghe', 'cyrl.zhe')",52.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.ka')",50.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.pe')",58.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.ya')",40.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.io', 'cyrl.zhe')",40.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ka', 'cyrl.pe')",47.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ka', 'cyrl.ya')",40.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ka', 'cyrl.zhe')",48.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.pe', 'cyrl.ya')",55.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.pe', 'cyrl.zhe')",56.0
cyrillic,century-schoolbook,"('cyrl.de', 'cyrl.ya', 'cyrl.zhe')",37.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.ka')",51.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.pe')",55.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.ya')",34.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.io', 'cyrl.zhe')",33.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ka', 'cyrl.pe')",53.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ka', 'cyrl.ya')",40.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ka', 'cyrl.zhe')",50.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.pe', 'cyrl.ya')",55.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.pe', 'cyrl.zhe')",58.0
cyrillic,century-schoolbook,"('cyrl.ghe', 'cyrl.ya', 'cyrl.zhe')",38.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ka', 'cyrl.pe')",47.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ka', 'cyrl.ya')",49.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ka', 'cyrl.zhe')",51.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.pe', 'cyrl.ya')",32.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.pe', 'cyrl.zhe')",35.0
cyrillic,century-schoolbook,"('cyrl.io', 'cyrl.ya', 'cyrl.zhe')",44.0
cyrillic,century-schoolbook,"('cyrl.ka', 'cyrl.pe', 'cyrl.ya')",46.0
cyrillic,century-schoolbook,"('cyrl.ka', 'cyrl.pe', 'cyrl.zhe')",48.0
cyrillic,century-schoolbook,"('cyrl.ka', 'cyrl.ya', 'cyrl.zhe')",43.0
cyrillic,century-schoolbook,"('cyrl.pe', 'cyrl.ya', 'cyrl.zhe')",40.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.es')",60.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.ka')",54.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.o')",60.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.tse')",35.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.ya')",54.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.el', 'cyrl.yu')",59.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.ka')",52.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.o')",54.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.tse')",61.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.ya')",43.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.es', 'cyrl.yu')",38.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.o')",50.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.tse')",57.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.ya')",29.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ka', 'cyrl.yu')",28.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.o', 'cyrl.tse')",59.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.o', 'cyrl.ya')",43.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.o', 'cyrl.yu')",45.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.tse', 'cyrl.ya')",56.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.tse', 'cyrl.yu')",65.0
cyrillic,courier-new,"('cyrl.de', 'cyrl.ya', 'cyrl.yu')",29.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.ka')",58.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.o')",55.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.tse')",62.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.ya')",50.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.es', 'cyrl.yu')",35.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.o')",59.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.tse')",43.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.ya')",27.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ka', 'cyrl.yu')",41.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.o', 'cyrl.tse')",59.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.o', 'cyrl.ya')",47.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.o', 'cyrl.yu')",47.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.tse', 'cyrl.ya')",42.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.tse', 'cyrl.yu')",56.0
cyrillic,courier-new,"('cyrl.el', 'cyrl.ya', 'cyrl.yu')",35.0
cyrillic,courier-new,"('cyrl.es', 'cyrl.ka', 'cyrl.o')",56.0
